Device_ID,device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index
198cfa31-2215-4574-9b36-7d8effef5319,1,3000,8.9,14,32.9,68,2,2.2,14.6,Medium,Poor,7,10,3.17
e1facb73-eabf-4b73-83dd-a30b346ba2ad,20,5000,7.8,12.2,34.9,61.3,4,3.5,2.3,High,Good,6,10,3.74
ece1a29f-a6b6-404d-8c89-6011890a10bc,32,4500,4.6,5.4,32.9,55.3,7,4.2,14.3,Medium,Moderate,5,10,3.31
d15ec172-39aa-421b-899f-9039c702948a,11,3000,6.1,11.1,33.3,94.4,3,3.1,16.6,Medium,Moderate,7,10,3.33
42267e4e-e29a-45cb-a76b-93cf5f0b7d7b,21,4000,6.5,10.6,33.5,71.5,5,12.7,4.4,Low,Moderate,5,10,4.09
204c455c-eca6-4532-bf48-d52171eca5e7,43,5000,7.2,8.9,33,13.7,5,3.4,0.2,Medium,Moderate,7,10,3.28
a893cc3b-b5c2-4de7-86e5-01aa2ec451ba,24,4000,7.4,11.9,36.4,28.9,1,4.2,12.3,Low,Good,7,10,4.13
1c0cb7e4-7546-4210-9e2c-d58087f12812,48,5000,5.9,9.6,38.4,54.3,6,7,14.8,Low,Good,5,10,4.81
6cc0ce3c-11d1-4d4c-975a-09175220e2eb,26,5000,3.6,6.8,33.4,53.7,3,3.2,5.6,Low,Moderate,7,10,3.35
ce2f3893-05e0-41c2-8770-6388e09d2c5e,41,5000,6.8,9.5,33.2,16,6,1.2,3,Low,Good,6,10,3.17
13d31370-d3a9-49b3-98a8-603fa8d3e416,27,3000,5,8.4,32.8,43.5,3,1.9,0.6,Medium,Moderate,7,10,3.13
2e42b65b-d3e4-4eea-b6eb-840e1031208e,15,3000,1,3,27.9,74.3,0,1.8,15.4,High,Moderate,8,10,1.99
12bfd333-3b6f-4332-b468-f11f7f913daf,14,3000,6.3,8.9,34.6,14.9,7,3.2,9.5,Medium,Good,6,10,3.65
9107d238-e52a-42c0-9ac6-5db3866de47d,46,5000,4,5.2,31.8,10.3,1,3.9,16.5,High,Good,8,10,3.05
a3544b7f-fb91-48f9-82da-69aa93356ad5,43,5000,4.6,5,33.2,65.5,0,0.9,0,Medium,Moderate,8,10,3.14
0ece0976-f14e-47d9-b208-43a1cd4d02c0,2,4000,5.5,8.8,32.4,9.5,3,9.1,10.4,Low,Good,7,10,3.58
79340d30-97f0-4ee2-a46c-e8df98b62ab0,36,4500,2.4,3.3,27.3,76,5,3.2,15.6,Low,Good,6,10,1.94
0ad99756-e0b9-416a-a0a1-800b5a6db2e9,6,3000,5.8,5.9,33.8,71.4,0,4.5,5.3,Medium,Good,7,10,3.55
77efdbcd-d36b-4a92-abd5-1d0902c802dd,20,5000,4.9,7.4,33.4,32.8,0,2.5,13.7,High,Good,9,10,3.31
718c3aaa-e489-4b66-a603-6eeb2e725a87,8,4000,3.7,6.8,28.3,69.5,4,4.4,4.7,Medium,Moderate,6,10,2.26
6011fb9d-d32d-43f4-8b20-9171ddb9f58d,38,4000,5.6,7.1,28.1,77.4,1,2.9,5.3,Medium,Good,8,10,2.11
834a9efc-abc3-4eb2-9e5d-ebe13a28ae0b,17,4000,2.1,3,31.4,44.3,6,2.6,10.4,High,Moderate,4,10,2.86
e95c9c47-3f83-4f81-94a6-ef019622e6ab,3,3000,5.7,8.9,29.8,45.5,1,0.8,7,Low,Moderate,8,10,2.34
27dfefec-c215-4608-a705-6d7bf8afb8e8,24,3000,6.4,7.1,31.8,61.6,3,4.7,16.8,Low,Good,6,10,3.1
f5971267-8a55-4dbe-b9bc-2214d5204751,13,4500,6.1,8.6,33.6,86.4,2,1.8,10,Low,Good,6,10,3.31
2f516c1c-ffa7-4270-b213-174430ae4930,8,4000,7.1,11,31.9,31,0,1.3,17,High,Poor,9,10,2.88
e7400259-6400-44b9-839c-0d2e08a10978,25,3000,7.8,11.2,30.5,26.3,1,2.1,13.4,Low,Moderate,8,10,2.62
9d211341-acc7-42e0-852f-5c683090e964,1,4000,5.3,6.7,27.5,88.8,2,1.8,5.4,Low,Good,7,10,1.89
b2895bd4-dac6-4a70-b495-edc22841de21,19,5000,7.7,10.3,33.6,15.2,1,0.4,11.1,Low,Good,9,10,3.2
ff3c4c26-c109-409a-9d24-453785ebd064,27,4000,5.3,6.4,36.6,25.4,5,7.9,5.8,High,Good,7,10,4.48
0c1db5cc-926a-4d22-9fef-8b012134f173,46,4500,4.1,5.5,30.6,13.5,3,6.2,15.8,High,Good,7,10,2.95
deeda693-9a1c-476c-aa8f-0d0dbb3f1509,6,3000,4.7,8.1,32.4,62.2,5,2.8,17.3,Low,Good,7,10,3.11
1d54873d-39a9-4438-bdb5-e22e7052f068,43,5000,6,11.4,34.3,59,0,5.5,1.4,Medium,Good,8,10,3.74
c07da8d2-f446-4570-89f3-e72b55d93d5f,7,3000,7.7,11.5,35.7,31.3,6,5.7,12.8,Medium,Good,6,10,4.08
74802bf2-0aba-427f-a4a4-59f42ca3727f,46,5000,5.5,9,32.4,79.2,4,2.4,16.1,Low,Good,5,10,3.08
ffca5389-d774-46b8-92df-f76a6faf96ec,34,4000,4.2,5.3,32.8,41,3,8,14.5,High,Good,7,10,3.58
3865bb8c-f679-4205-b5ab-fe0166be412a,13,4000,8.4,10.5,30,70.2,3,1.4,9.5,Low,Good,6,10,2.44
889f15ff-8f02-405f-9ae9-e3545ead2ef2,16,4500,2.6,5.8,26,56.9,3,1.3,23.7,Low,Good,7,10,1.49
3233b6c1-457f-4e5b-ba08-8c46eaa71983,35,4500,4.2,5.7,32.2,82.3,7,7.3,11.2,Medium,Good,5,10,3.38
bd37c605-42f6-4e69-bcfd-c81e4f2b71f0,39,5000,7.3,11.6,32.2,71.7,2,4.1,2.6,Medium,Good,6,10,3.15
7badd16c-8461-4a3a-8575-314db37cbe0d,3,4500,9,13.7,32.7,78.3,3,1.7,13.5,Low,Good,6,10,3.1
60a1dc2a-da45-4956-ae81-74203979e438,1,4500,6.5,10.7,29.6,27.6,4,3.4,15.5,Low,Moderate,6,10,2.5
5b0ef22b-2e0a-4d74-bf3c-58dcc293eb66,5,4500,6,10,31.2,62.8,5,3.1,13,High,Good,6,10,2.84
5265e7ab-b721-4729-a065-120fdd601e13,41,4500,4.9,7.7,34.3,24.5,0,2.9,11,Medium,Moderate,8,10,3.56
36a0fab7-4474-4ba8-97c7-e6dcd09b2041,3,4000,6.6,10.3,37,22.9,1,1.7,3,Low,Moderate,8,10,4.09
e6d8abe3-607f-44f9-91f1-4fba03e224e1,28,4500,5.8,9.9,35.3,29.1,6,1.7,1.7,Medium,Good,6,10,3.7
dda422b3-e0ed-4fa2-9a37-d60c82bee71c,17,4000,4,5.6,32.5,70,2,6.4,5.2,Medium,Moderate,7,10,3.39
f0140e16-edd3-4121-a68c-c0852804a8c7,25,4000,4.9,8.9,32.4,88.6,3,2.7,0,Low,Good,7,10,3.09
2c68301a-aad8-4149-80eb-3b0d78284f91,43,3000,3.8,4.9,28.9,90.1,1,6.8,17.6,Medium,Good,8,10,2.58
84cd543d-bae7-4891-a5ab-5d844546d340,33,4000,5.5,8.4,31,50.1,5,0.7,10.4,Low,Good,6,10,2.62
bc448651-930d-46d8-9fa1-c48ffc8bd13f,9,4000,5.8,9.4,36.9,78.3,3,5.8,8.3,Low,Moderate,5,10,4.37
4e8c03e6-93b1-450b-b516-98d5a5afcd04,35,4500,8.8,11.5,32.3,36.4,0,1.3,2.8,High,Moderate,7,10,2.97
0c97c7dc-1cbc-4643-9c6e-2c88dfc70a9f,13,4000,4.3,7.8,35.8,30.1,4,10.8,3.6,Medium,Moderate,7,10,4.5
39b659a9-24b3-4d89-850b-667fefde55fe,30,5000,5.1,8.2,30.7,74,4,5,10.1,High,Poor,6,10,2.87
3bd604a9-6b93-435c-a408-ac8db37c7271,47,4500,8,15.3,27.4,62.9,6,1.5,8.6,Medium,Moderate,4,10,1.85
5f13d007-abf4-4edf-9bda-dcd77a94eee4,14,4500,9.1,15.7,37,89.8,5,5.8,10.7,High,Good,6,10,4.4
dbb0f501-e65a-4a78-a27f-330a5975f335,7,4500,6.4,9.7,36,12.9,2,1.1,3.4,Low,Moderate,8,10,3.81
79e9bd43-d63c-4086-b720-5bf700d9b2c2,13,3000,5,9.3,31.5,78.5,1,2.9,11.9,Medium,Good,7,10,2.9
ebbf5a17-1036-4d25-9ccb-478bf7846253,22,4500,4.6,7.7,33.3,37.5,1,0.4,16.4,High,Good,8,10,3.14
a79dbecb-9197-43d3-8275-fe2b1492d7e9,39,4000,1.8,3,24.7,59.9,7,0.8,8.6,Low,Good,4,10,1.16
b90c7883-10e3-474c-b3e0-479626459360,20,5000,3.6,3.8,28,47,6,2.1,13.9,Low,Good,7,10,2.02
86e1b7bc-4f00-4440-9d14-b66945803b68,15,4500,5.7,7.1,31.6,60.6,4,6.6,9.1,Medium,Good,6,10,3.19
80b7ddfe-935c-4ebc-9206-5a23118d0458,44,4500,5.1,7.7,32.2,62.7,0,0.8,8.1,Medium,Good,8,10,2.9
516def12-edbb-4f73-a4c1-d68bd90225ed,17,5000,6.7,9.6,35.9,64.2,2,6.5,12.1,High,Good,7,10,4.19
36e5975b-15ef-4f7a-b8a2-4c51d43629e9,46,4500,5.1,7.9,32.5,37.1,3,0.6,7.7,Low,Good,7,10,2.95
5779a89d-5732-4336-be13-6b1718ce99d0,23,3000,4,7.4,27.9,15.8,5,6.5,6.9,Low,Good,6,10,2.34
7d0d3ad7-9b69-4639-84a2-395b99075902,25,4000,6.2,10.1,32.5,71.7,2,2.3,15.4,Medium,Good,7,10,3.09
adabc0a6-82bc-4f31-9888-9fea63da54c1,24,5000,10.5,15.1,35.3,46.5,4,1.6,0.9,Low,Good,7,10,3.69
cd6b4e31-72fc-4a80-a950-edc43b59943f,44,5000,4.9,8.2,28.9,20.1,7,8.6,10.5,High,Moderate,6,10,2.72
23859060-f15a-4fe9-ac1f-40f65a06331c,40,3000,5.8,7.8,37.2,25.8,5,21.9,4.7,Low,Poor,6,10,5.65
fc49547b-5150-4c15-8a11-67edda946ae9,28,4000,7.2,9.6,32,41.2,3,2.9,19,Low,Moderate,7,10,3.02
bdfea0be-7c2b-4a7e-ad82-6e006c6ff739,14,3000,4.4,6.9,30.3,51.6,2,4.6,14.5,Low,Good,7,10,2.75
00618a0f-1a84-44e0-94b4-b6dbf522d4d0,44,4000,8,11.3,34,14,0,2.2,16.4,High,Poor,9,10,3.43
d0c67091-c9d8-483b-9117-80548ab63d46,0,3000,2.3,3,28.9,65.1,1,7.5,11,Medium,Moderate,7,10,2.63
01235db3-ad35-4c9e-8626-0069ff096b4c,24,4500,4.7,8,32.6,22,3,4.8,13.2,Medium,Good,7,10,3.31
6fa2a98e-99b5-4137-8a83-20fb551c33bf,6,3000,4.9,8,31.6,3.4,2,5.2,11.1,Low,Moderate,8,10,3.09
16b8a80c-0cbf-49e0-b949-512cc39a7348,8,5000,5.8,8.3,32.7,21.8,6,3.2,7.2,Low,Moderate,6,10,3.21
28b31724-e404-419a-ac44-82abc01dd635,23,5000,1.6,3,26.4,21.6,0,4.3,18.9,High,Good,9,10,1.82
40fde7bd-7153-4f34-ae5c-9d9e31862dd0,0,5000,8.2,11.6,31.7,26.7,6,3.2,13.5,High,Good,7,10,2.98
bd86747c-fb12-4370-b438-e0a2a4e5dd0b,43,3000,6.3,11.4,34.3,24.7,7,3,5.9,High,Good,6,10,3.57
61f86a04-fade-4212-aafb-ac3c9afd7c2a,7,5000,7.7,12.6,33.1,30.6,2,6.4,2.2,Low,Moderate,8,10,3.53
8d7df481-2150-4ba1-902e-12c23abeaf88,23,5000,8.7,14.5,39.7,70.1,6,4.9,4.9,Medium,Good,5,10,4.96
d8371fb5-16e7-402c-95fd-f39334ba9482,10,4500,4,6.3,31.9,78.8,3,2.2,10.3,Medium,Good,6,10,2.93
c4772621-581d-4b5e-9bd2-f23b72bdd1d9,16,4500,1,3,31.9,41.7,6,6.4,6.7,Low,Good,5,10,3.26
41f737ae-9ae7-4ce5-b534-49cb83d6b180,7,4000,7.8,12.6,33,59.7,0,4.6,14.7,Low,Good,9,10,3.38
b79e0d95-08e7-4906-9497-4968ae4af049,34,4000,4.9,8.7,30.9,59.5,5,4.5,11.4,High,Moderate,6,10,2.89
8baa92a8-b745-467e-9b77-d039d14885a4,34,4000,3.2,4.4,30.4,53.3,1,3.1,8.8,Medium,Good,8,10,2.65
7d5b4d20-427b-4951-ac3f-7e941ffa1ffd,32,3000,6.7,9.3,31.9,45.4,6,1.2,10,Medium,Good,6,10,2.87
60f66686-1443-46b9-9ea8-63e528aa7bbb,4,4000,10.4,14.1,34.8,36.1,0,6.1,9.4,Low,Good,8,10,3.9
4ed4a675-263d-4770-83ce-fffdf8d5e104,41,3000,5.3,7.2,34.4,81.2,2,8.1,8.8,Low,Moderate,7,10,3.98
f078ea33-e189-427b-b70a-2c827a20668d,38,3000,7.4,11.8,33,39.8,2,1.8,11.9,Low,Good,7,10,3.16
36b24501-3f5f-46d0-9083-3ac2777a2927,40,4000,3.5,4.7,27.3,43.4,6,2.4,7.4,High,Good,6,10,1.87
bf009b2a-e68c-4cb3-8df5-f18f10421299,27,4000,2.1,4.1,30.1,72.3,2,1.7,4.2,Medium,Moderate,7,10,2.48
ff59ec55-e167-4400-ad06-7d6e846595e9,6,3000,7.3,13,29.1,38.6,5,0.9,13.7,Medium,Good,5,10,2.2
49309c5e-32d7-43f8-b2c6-7d311c5e9641,8,4500,6.6,9.9,33.5,23.3,2,9.9,6,Low,Moderate,8,10,3.9
e5de4da4-2127-46b8-a661-90a0146a3333,7,5000,4.6,6.8,32.3,68.8,6,2.3,16.2,High,Good,5,10,3.05
8e74c63d-0897-4866-802a-4803ca3d42a1,11,5000,8.9,13.9,36.3,54.8,2,6.3,9.2,Medium,Good,7,10,4.28
f2158fb8-8564-416f-8b78-9eb42db33e5f,33,5000,2,3,26,39.3,5,7.2,7.8,Low,Moderate,7,10,1.95
92f1578a-7ea0-4264-ba84-392eefa6d3e0,32,4500,3,3.9,28.9,58.7,4,1.4,5.3,Low,Good,7,10,2.17
c0c3f7d7-27ed-4ba4-b3f5-6186f1196c70,47,3000,4.4,6,33.1,76,0,9.1,8.5,Low,Moderate,8,10,3.74
796ed85a-316a-4b59-b097-b444a1c035f3,22,4000,4.8,6,28.4,54.4,0,2.6,11.7,Medium,Good,9,10,2.15
0a140f14-280f-416e-bba2-6d197725108a,23,3000,8.4,13.5,37,56.1,0,5.8,6.1,High,Good,8,10,4.4
06a509e1-5c65-4907-822d-648f2c49b2e3,36,3000,5.6,7.9,34.5,78.5,0,7.3,13.7,High,Poor,6,10,3.93
032a078e-0bb7-48bf-9729-acfe8684fa4d,34,4000,5.1,8.8,30.4,79.3,3,2.3,4.5,Low,Poor,6,10,2.6
18e45630-e709-4244-adc1-d3ee33c46f68,43,4500,3,5,28.4,31.5,6,1.4,14.6,High,Good,6,10,2.07
9f92f048-806c-4898-b2e3-bd650dd78531,39,5000,7.7,11.5,32,12.1,2,1.9,10.6,High,Good,9,10,2.95
fdb6191c-6f63-46eb-8384-67eaeaa0fc80,21,5000,3.2,5.6,31.5,56.3,4,6.3,7.7,Low,Good,6,10,3.17
6ccb52fa-ef28-4a14-bea3-af53406901c7,26,3000,3,3.5,30.9,43.3,7,10.7,11.9,Medium,Good,6,10,3.33
34f811a8-f2f2-4fed-abeb-69ece05adc30,34,4500,4.7,6.3,28.9,57.7,5,2.9,18,High,Good,6,10,2.3
6a5673df-c83c-4cc0-80e5-0705e60ba6a9,0,5000,5.8,9.5,31,69.7,3,2.4,15.8,Medium,Good,5,10,2.75
6bbb5ad9-d6b1-4813-993a-4eceb092d67a,34,4500,4.1,3.9,35.7,68.8,6,15.9,11.8,High,Good,4,10,4.85
e3a44ffc-e0a4-4f59-af8d-8b9c6678feb9,36,4000,6.9,10.4,33.1,20.5,0,5.4,14.7,Low,Good,10,10,3.47
45481700-761b-4247-a7bd-c5f41dfa445b,46,3000,4.9,8,34.5,75,7,1.1,7.9,Medium,Poor,4,10,3.46
8fa9cb36-597c-4a91-a0bc-e44af5a42c4c,13,3000,7.6,12.7,33.2,52.4,5,1.7,6.9,Medium,Good,6,10,3.2
78eaacd0-e824-4db0-b313-83b7adcbae65,2,4500,6.5,11.3,29.5,43.2,0,0.8,13.6,High,Moderate,8,10,2.27
f3517328-2be0-4043-b8fd-a9cab25a2c96,0,5000,9.1,13.5,33.1,22.4,5,4.2,11.2,Medium,Good,7,10,3.37
0d00e79b-9dc9-48cb-9d68-d76a7dca264b,4,4500,4.6,7.7,30.5,40.1,4,3.2,8.5,High,Moderate,7,10,2.69
72ecfcef-cba7-4b73-bfa7-c2c100623bb6,25,4000,7.2,10,34.2,49.7,6,2.7,14,Medium,Moderate,6,10,3.51
345d745a-64bf-4ef2-b8be-87ba1d118be2,13,5000,1.9,3,29.7,11,0,1,10.2,High,Poor,9,10,2.34
4db41c9c-1e9f-4b5a-bed4-152b812cc161,38,5000,11.3,18.3,35.8,74.2,0,1.7,16.4,High,Good,7,10,3.81
4ef7f777-62b0-4d13-b37e-b424fc769012,26,4500,7.1,10.6,32.2,76.6,0,3.2,0,Low,Good,7,10,3.08
6d7ee671-838c-472b-88a7-260e0095fbf3,8,4000,4.9,7.5,30.4,56.6,0,3.3,7.5,Low,Moderate,8,10,2.67
008c2a47-e4ac-4a08-afc8-a082544c9d4f,14,5000,5,6.4,30.7,38.7,3,5.4,14.6,High,Good,7,10,2.89
8bb9e138-7016-4e6d-8c0c-27ccd89cfcd4,14,3000,5,7.9,27.2,63.4,3,0.5,18.3,High,Poor,6,10,1.71
006a0e2f-139b-4cbd-8346-099d502e5ac9,25,4000,9.2,14.5,34.1,55.1,3,6.1,16.6,High,Good,7,10,3.74
1ce2d453-861d-4409-8c8e-f04648ee48df,41,5000,7.3,11.7,29.9,86.9,0,1.9,6.8,Low,Moderate,8,10,2.46
e97edbe0-daf7-44d5-bb5f-e028992bb687,12,4500,4.6,5.7,34.1,62.6,1,4.2,16.3,Low,Moderate,7,10,3.62
55a423d6-e1d5-407c-a53c-2ca1f11dceef,31,5000,3,5.5,30.7,38.9,3,9.2,0.9,Medium,Moderate,7,10,3.19
b15a7c36-6c92-4db9-b49c-8e19fd11bd9d,38,3000,7.9,10.8,30.5,58,6,3,5.4,High,Good,6,10,2.68
853b261f-3552-429a-bc17-c638a680cca7,48,4000,7.2,10.7,32.6,39.5,7,8.8,8.7,Medium,Good,4,10,3.6
d4eb3aef-5995-4523-a95b-4bbac4267a27,31,5000,6.9,8.8,34.9,49,7,14.6,12.3,Low,Poor,6,10,4.58
b4b896e4-b975-469d-9c47-10fdceffc5ed,3,3000,5.3,7.8,30.9,39.1,2,3.5,5.1,High,Moderate,7,10,2.8
ac135e5b-19d5-4786-a318-e9913645adb6,29,5000,4.9,6.3,31.7,62.1,2,12.8,9.3,Medium,Good,7,10,3.69
56f4261a-c121-4852-8906-7e6bfc2d75f8,36,5000,8.9,12.9,33.7,66.8,1,1.7,16.8,Medium,Moderate,7,10,3.33
5456a3d5-63b1-4f87-b81c-a0db9c2d89bc,22,4000,9.1,13.6,35.2,13.2,4,4.4,4.1,High,Good,6,10,3.88
f07f4b84-e7cb-4399-9d5d-919298f21104,38,4500,6.8,11,32.1,64.3,2,2.7,3.7,Medium,Good,7,10,3.02
a2c4442a-00cb-44a1-94e0-542b398b7ace,44,4500,7.4,12,30.6,89.4,5,3.6,6,Medium,Good,6,10,2.73
2d51b544-f613-4fb0-8af6-cf350f21d061,14,3000,6,6.6,37.8,54.6,4,2.7,21.9,Low,Moderate,7,10,4.36
1d9092ce-ae6b-4831-baa6-ec16432b279a,42,3000,2.8,4.8,32.1,24.3,2,0.5,12.1,Low,Moderate,8,10,2.86
3e34f227-1f68-48dd-ac4e-3e952a22147d,28,3000,3.5,5.5,30.6,70.3,5,4.1,5.7,Medium,Good,5,10,2.79
30fc248e-83d9-4b37-a0e5-ef5e99d186e9,35,4000,7.8,11.1,29,64.1,1,2.1,14.6,Medium,Good,7,10,2.25
69bf3375-201f-43f4-9ba0-2b07d47c82da,12,4500,8,11.2,35.7,64,3,6.3,0.8,High,Good,7,10,4.14
a5fa5ac5-e9d4-4690-9700-978dcd8b91d3,31,3000,7.6,11.3,32.9,47.9,6,7.8,9.3,Low,Good,6,10,3.59
84c8196f-0c21-4123-9853-6383ef65f5a9,6,3000,6.2,9.5,31.5,84.1,4,1.6,10.7,High,Moderate,6,10,2.81
ec0b2abb-f839-4099-bf68-e0f6df9e2661,21,5000,7.7,11.9,27.7,62.6,5,1,15.6,High,Good,6,10,1.86
9bb595a7-37a9-4526-8ae8-c3934347f832,27,5000,5.4,7.9,27.5,63.5,7,1.7,2.8,Low,Good,5,10,1.88
251b66e3-dcf4-4896-a8a9-d7aaf00cd34a,1,3000,6.7,7.6,33,58.2,5,1.4,16.4,Medium,Moderate,6,10,3.14
e2f2510a-8d0d-4fff-bdfd-beaa2d14cbed,41,5000,5.1,7.1,31.9,53.3,4,1.9,15.1,Medium,Moderate,6,10,2.93
60b601ee-03f4-44ed-8317-5bea1aee77e3,44,5000,3.4,3.9,30.7,1.3,1,3,16.7,High,Poor,9,10,2.71
91ea97b5-20f3-4003-81c8-cb5b4720e32f,5,5000,7.2,12.9,34.6,24.5,7,6,4,High,Moderate,6,10,3.85
dd2ad479-4263-4f74-b1b3-9b7e713759af,27,4000,8.1,12.1,35.6,76.6,4,8.5,18.7,Medium,Moderate,6,10,4.28
0bef918f-6911-4b2d-ac06-30b425b30952,27,3000,10.4,16.4,34.3,78.5,2,6.8,0.6,High,Poor,7,10,3.84
c29c3ede-96a4-40ef-9369-35cc784d8eb6,43,3000,6,9.7,34.4,23.8,3,11.4,3.7,Medium,Poor,7,10,4.21
6e018883-fa37-4036-b4a7-80c992f15858,43,5000,3.4,5.4,32.1,46.2,0,1.1,10.9,Low,Good,9,10,2.9
ca883100-0e4a-49dd-843c-5c7d915225bf,19,4000,4.8,6.8,31.6,62.7,1,3.1,8.1,Low,Good,6,10,2.93
4ca02b90-bd7c-46aa-b936-1fb7435ae0df,29,5000,5.2,7.3,32.4,16.2,7,1.7,3.3,Medium,Good,7,10,3.01
89738a2c-b68d-4518-86e8-9717a8ecca34,10,4000,5.8,6.7,33.8,14.3,4,6.5,21.8,High,Moderate,8,10,3.71
332b174d-1c03-4f83-904e-4710009920e6,27,3000,6.4,9.8,30.5,23.7,4,3.9,1.5,Low,Good,7,10,2.75
86cac2a4-2fea-4c1d-9baf-910d3127a479,24,5000,6.2,9.6,31.9,42,7,1.8,1.3,Medium,Good,5,10,2.92
810eaff2-fe36-486f-b8bd-13613e4c908f,38,3000,7.1,10.5,33.4,32.7,4,6,11.6,Medium,Good,7,10,3.58
b03d2427-6736-4f61-989e-fc87f2507a50,32,4000,5.9,9,32.6,56,4,6.5,9.7,High,Good,6,10,3.42
38875542-4987-4b55-87bd-de8e83574c2f,0,4500,1,3,32.1,52.7,1,2.7,2.7,High,Moderate,8,9.59,3.03
db67364f-3877-4f34-802c-1e2966b10ea5,26,4000,6,8.6,35.6,29.9,2,5.2,20.9,High,Moderate,8,10,4.03
387f8f18-e5ca-4f7c-b48a-dc956b97700f,12,4500,5.7,7.9,29.2,27.9,2,3.5,10.5,Low,Moderate,7,10,2.4
ad46f7ed-514c-45ce-9be9-7a0fe8c24828,40,3000,6.6,10.6,35.4,75.6,3,2.6,7.2,Low,Moderate,6,10,3.79
a84da8d6-686a-4476-9bea-0eb22261d4da,2,3000,4.8,7.2,27.4,37.5,3,2.7,10,Low,Good,6,10,1.94
fc9071bb-4c51-46fa-9fd8-cf75ef770572,38,5000,5.9,8.3,34.7,69.7,0,2,2.1,Medium,Moderate,8,10,3.57
2b8b9b63-1deb-455a-bdb7-d31f45f4c498,5,4500,6.6,9.8,32,87.8,2,3.9,15.4,Medium,Moderate,6,10,3.1
bbb255b5-fc13-4292-84ce-431a387bd27f,7,4000,5.2,6.7,31.3,71.5,5,3.1,11.3,Medium,Moderate,7,10,2.88
